Prueba,Efic,Presión,F(GPM),% SólidosA,% Agua A,Q m3/H,F (t/h),Solidos t/h A,Agua t/h A,Vi (m/s),Do/Dc,Du/Dc,pp (ton/m3),ps (ton/m3),fv,Vh/Vt,um(Kg/m.s),Re,(ps-pf)/pf,(ps-pp)/ps,raiz(P/pp),1/tan(teta/2)),um/uw
52,57.94857143,5.5,24.87,23.1,76.9,5.64,6.54,1.51,5.03,0.77,0.3595,0.14,1.16,2.6,0.1,0.52,0.00133,68378.97726,1.24,0.55,1.83,10.39,1.325
53,59.66142857,5,23.61,24.7,75.3,5.35,6.31,1.56,4.75,0.73,0.3595,0.14,1.18,2.6,0.11,0.49,0.00137,64168.16822,1.2,0.55,1.73,10.39,1.362
54,64.04142857,10,35.11,30.4,69.6,7.96,9.79,2.98,6.81,1.09,0.3595,0.2125,1.23,2.6,0.14,0.4,0.00151,90050.98754,1.11,0.53,2.39,10.39,1.506
55,64.76,10,30.72,30.2,69.8,6.97,8.57,2.59,5.98,0.96,0.3595,0.2125,1.23,2.6,0.14,0.4,0.00151,79103.66595,1.11,0.53,2.39,10.39,1.501
56,77.92857143,7,25.88,29,71,5.87,7.16,2.08,5.08,0.8,0.3595,0.2125,1.22,2.6,0.14,0.42,0.00148,67518.82354,1.13,0.53,2.01,10.39,1.469
57,81.03,7.5,27.49,28.4,71.6,6.23,7.48,2.12,5.36,0.85,0.3595,0.2125,1.2,2.6,0.13,0.44,0.00145,71762.03022,1.17,0.54,2.1,10.39,1.444
58,84.85285714,5.5,23.32,27.8,72.2,5.29,6.35,1.77,4.58,0.72,0.3595,0.2125,1.2,2.6,0.13,0.44,0.00144,61344.38847,1.17,0.54,1.79,10.39,1.434
59,89.95285714,3.5,19.58,24.8,75.2,4.44,5.24,1.3,3.94,0.61,0.3595,0.2125,1.18,2.6,0.11,0.49,0.00137,53211.74198,1.2,0.55,1.44,10.39,1.364
60,90.39714286,2.5,16.48,25.7,74.3,3.74,4.45,1.14,3.31,0.51,0.3595,0.2125,1.19,2.6,0.12,0.48,0.00139,44552.75642,1.19,0.54,1.22,10.39,1.384
61,90.38714286,2.5,15.65,26.7,73.3,3.55,4.22,1.13,3.09,0.49,0.3595,0.2125,1.19,2.6,0.12,0.46,0.00141,41575.77781,1.19,0.54,1.22,10.39,1.406
62,84.72428571,9,32.47,23.9,76.1,7.36,8.68,2.07,6.61,1.01,0.3595,0.2125,1.18,2.6,0.11,0.51,0.00135,89342.94769,1.2,0.55,2.32,10.39,1.346
63,69.8,5,21.96,33.3,66.7,4.98,6.23,2.07,4.16,0.68,0.3595,0.2125,1.25,2.6,0.16,0.36,0.0016,54369.11176,1.08,0.52,1.68,10.39,1.588
64,69.20571429,7.5,26.24,32.2,67.8,5.95,7.44,2.4,5.04,0.82,0.3595,0.2125,1.25,2.6,0.16,0.37,0.00157,65966.50808,1.08,0.52,2.05,10.39,1.563
65,76.20714286,9.5,30.45,28.7,71.3,6.91,8.43,2.42,6.01,0.95,0.3595,0.2125,1.22,2.6,0.13,0.43,0.00147,79899.63419,1.13,0.53,2.34,10.39,1.462
66,48.40571429,14,35.23,33.7,66.3,7.99,10.15,3.42,6.73,1.1,0.3595,0.2125,1.27,2.6,0.16,0.35,0.00162,87163.02068,1.05,0.51,2.78,10.39,1.613
67,65.28571429,14.5,39.76,25.4,74.6,9.02,10.73,2.73,8,1.24,0.3595,0.2125,1.19,2.6,0.12,0.48,0.00139,107701.4686,1.19,0.54,2.93,10.39,1.38
68,78.35,14,39.33,25.7,74.3,8.92,10.61,2.73,7.88,1.22,0.3595,0.2125,1.19,2.6,0.12,0.48,0.00139,106069.516,1.19,0.54,2.88,10.39,1.386
69,84.72,9,32.3,23.6,76.4,7.33,8.5,2.01,6.49,1,0.3595,0.2125,1.16,2.6,0.11,0.51,0.00134,88208.09904,1.24,0.55,2.34,10.39,1.335
70,90.62285714,7,29.6,20.8,79.2,6.71,7.72,1.61,6.11,0.92,0.3595,0.2125,1.15,2.6,0.09,0.56,0.00129,83317.53956,1.26,0.56,2.07,10.39,1.284
71,59.5125,6.5,20.42,40.5,59.5,4.63,6.16,2.49,3.67,0.63,0.2425,0.11,1.33,2.6,0.21,0.26,0.00189,45494.15494,0.95,0.49,1.85,10.39,1.876
72,58.96625,4,16.72,38.4,61.6,3.79,5,1.92,3.08,0.52,0.2425,0.11,1.32,2.6,0.19,0.29,0.0018,38602.76678,0.97,0.49,1.46,10.39,1.795
73,20.1717784,5,19.45,36.4,63.6,4.41,5.64,2.05,3.59,0.6,0.2425,0.11,1.28,2.6,0.18,0.32,0.0017,46119.00344,1.03,0.51,1.66,10.39,1.694
74,27.17486677,4.5,18.23,35.4,64.6,4.13,5.29,1.87,3.42,0.57,0.2425,0.11,1.28,2.6,0.17,0.33,0.00168,43964.40136,1.03,0.51,1.57,10.39,1.667
75,11.07160958,12,34.77,25.2,74.8,7.89,9.31,2.35,6.96,1.08,0.2425,0.11,1.18,2.6,0.11,0.49,0.00138,93981.57578,1.2,0.55,2.67,10.39,1.373
76,8.024866464,8.5,29.55,23,77,6.7,7.77,1.79,5.98,0.92,0.2425,0.11,1.16,2.6,0.1,0.52,0.00133,81292.29803,1.24,0.55,2.27,10.39,1.324
